Sheet,Game,Question,Category,Question Type,Options,Correct Answer,Active,Intensity,Tone,Relationship Area,Tags,Notes,Memory Lane Mode,Avoid If,Game Suitability,AI Use Case,Repeat Group,Original Sheet,Original Question Type
Most Like To,Most Likely To,Who is most likely to keep a secret surprise until the perfect moment?,Connection,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,2,light,emotional,playful;observant,,,,party;couples,engagement,,,
Most Like To,Most Likely To,Who is most likely to notice when the other person is pretending to be fine?,Connection,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,3,warm,emotional,empathy;awareness,,,,couples;deep talk,insight,,,
Most Like To,Most Likely To,Who is most likely to suggest one more round?,Fun,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,1,playful,social,energy;social,,,,party,engagement,,,
Most Like To,Most Likely To,Who is most likely to get caught smiling at their phone?,Romance,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,2,light,romantic,flirty;subtle,,,,couples,engagement,,,
Most Like To,Most Likely To,Who is most likely to bring up an old inside joke at exactly the right time?,Connection,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,2,playful,social,humor;memory,,,,friends;couples,engagement,,,
Most Like To,Most Likely To,Who is most likely to say yes to a dare?,Fun,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,2,playful,social,bold;risk,,,,party,engagement,,,
Most Like To,Most Likely To,Who is most likely to secretly enjoy being teased?,Romance,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,3,flirty,romantic,flirty;teasing,,,,couples,engagement,,,
Most Like To,Most Likely To,Who is most likely to make the scoreboard personal?,Competition,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,2,playful,social,competitive;playful,,,,games,engagement,,,
Most Like To,Most Likely To,Who is most likely to laugh at the wrong moment?,Fun,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,1,light,social,awkward;humor,,,,party,engagement,,,
Most Like To,Most Likely To,Who is most likely to turn a small moment into a big memory?,Connection,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,3,warm,emotional,sentimental;present,,,,couples,insight,,,
Most Like To,Most Likely To,Who is most likely to overthink a simple text message?,Personality,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,2,light,emotional,overthinking;anxious,,,,solo;couples,insight,,,
Most Like To,Most Likely To,Who is most likely to hype the other person up for no reason?,Connection,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,1,playful,emotional,supportive;energy,,,,friends;couples,engagement,,,
Most Like To,Most Likely To,Who is most likely to remember something tiny from months ago?,Connection,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,2,warm,emotional,detail;memory,,,,couples,insight,,,
Most Like To,Most Likely To,Who is most likely to fall asleep mid-conversation?,Personality,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,1,light,emotional,tired;comfort,,,,couples,engagement,,,
Most Like To,Most Likely To,Who is most likely to pretend they’re not competitive (but totally are)?,Competition,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,2,playful,social,competitive;hidden,,,,games,engagement,,,
Most Like To,Most Likely To,Who is most likely to plan something spontaneous?,Fun,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,2,playful,social,spontaneous;adventure,,,,friends;couples,engagement,,,
Most Like To,Most Likely To,Who is most likely to get distracted halfway through a story?,Personality,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,1,light,social,scatter;funny,,,,party,engagement,,,
Most Like To,Most Likely To,Who is most likely to start a playful argument just for fun?,Fun,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,2,playful,social,teasing;debate,,,,friends,engagement,,,
Most Like To,Most Likely To,Who is most likely to send a risky text and regret it instantly?,Romance,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,3,flirty,romantic,impulsive;flirty,,,,couples,engagement,,,
Most Like To,Most Likely To,Who is most likely to notice a mood shift first?,Connection,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,3,warm,emotional,empathy;aware,,,,couples,insight,,,
Most Like To,Most Likely To,Who is most likely to double text and then regret it?,Romance,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,2,light,romantic,impulsive;anxious,,,,couples,engagement,,,
Most Like To,Most Likely To,Who is most likely to make a situation awkward without realizing?,Fun,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,1,playful,social,awkward;social,,,,party,engagement,,,
Most Like To,Most Likely To,Who is most likely to notice a change in tone instantly?,Connection,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,3,warm,emotional,observant;empathy,,,,couples,insight,,,
Most Like To,Most Likely To,Who is most likely to turn a small win into a big celebration?,Fun,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,1,playful,social,energy;joy,,,,friends,engagement,,,
Most Like To,Most Likely To,Who is most likely to say “I’m fine” when they’re clearly not?,Connection,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,3,warm,emotional,emotion;avoidance,,,,couples,insight,,,
Most Like To,Most Likely To,Who is most likely to flirt without realizing it?,Romance,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,2,flirty,romantic,natural;flirty,,,,couples,engagement,,,
Most Like To,Most Likely To,Who is most likely to get competitive over something meaningless?,Competition,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,1,playful,social,competitive;fun,,,,games,engagement,,,
Most Like To,Most Likely To,Who is most likely to hype themselves up before doing something small?,Personality,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,1,light,social,energy;confidence,,,,solo,engagement,,,
Most Like To,Most Likely To,Who is most likely to remember exactly how something felt?,Connection,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,3,warm,emotional,emotional;memory,,,,couples,insight,,,
Most Like To,Most Likely To,Who is most likely to turn a joke into something serious?,Personality,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,2,light,emotional,deep;unexpected,,,,friends,engagement,,,
Most Like To,Most Likely To,Who is most likely to get lost in their thoughts mid-conversation?,Personality,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,1,light,emotional,daydreaming;absent,,,,solo,insight,,,
Most Like To,Most Likely To,Who is most likely to make eye contact and not break it?,Romance,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,3,flirty,romantic,intense;flirty,,,,couples,engagement,,,
Most Like To,Most Likely To,Who is most likely to take things too literally?,Fun,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,1,playful,social,literal;humor,,,,party,engagement,,,
Most Like To,Most Likely To,Who is most likely to start something they don’t finish?,Personality,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,1,light,social,scatter;energy,,,,solo,insight,,,
Most Like To,Most Likely To,Who is most likely to comfort someone without saying anything?,Connection,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,3,warm,emotional,support;quiet,,,,couples,insight,,,
Most Like To,Most Likely To,Who is most likely to send a message and instantly check if it’s been read?,Romance,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,2,light,romantic,anxious;attached,,,,couples,engagement,,,
Most Like To,Most Likely To,Who is most likely to keep things light even in serious moments?,Fun,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,2,playful,social,energy;deflection,,,,friends,engagement,,,
Most Like To,Most Likely To,Who is most likely to take a joke personally?,Personality,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,2,light,emotional,sensitive;emotion,,,,friends,insight,,,
Most Like To,Most Likely To,Who is most likely to say exactly what they’re thinking?,Personality,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,2,warm,social,honest;direct,,,,solo,insight,,,
Most Like To,Most Likely To,Who is most likely to notice when someone needs space?,Connection,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,3,warm,emotional,awareness;respect,,,,couples,insight,,,
Most Like To,Most Likely To,Who is most likely to turn a boring moment into something fun?,Fun,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,1,playful,social,creative;energy,,,,friends,engagement,,,
Most Like To,Most Likely To,Who is most likely to replay a conversation in their head later?,Personality,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,2,light,emotional,overthinking;memory,,,,solo,insight,,,
Most Like To,Most Likely To,Who is most likely to smile when they shouldn’t?,Fun,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,1,playful,social,awkward;joy,,,,party,engagement,,,
Most Like To,Most Likely To,Who is most likely to give in during an argument first?,Connection,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,3,warm,emotional,peacekeeping;soft,,,,couples,insight,,,
Most Like To,Most Likely To,Who is most likely to make the first move?,Romance,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,3,flirty,romantic,bold;confident,,,,couples,engagement,,,
Most Like To,Most Likely To,Who is most likely to get distracted by something random?,Fun,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,1,playful,social,random;attention,,,,party,engagement,,,
Most Like To,Most Likely To,Who is most likely to notice details others miss?,Connection,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,2,warm,emotional,observant;detail,,,,couples,insight,,,
Most Like To,Most Likely To,Who is most likely to get shy unexpectedly?,Romance,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,2,flirty,romantic,shy;soft,,,,couples,engagement,,,
Most Like To,Most Likely To,Who is most likely to take the lead in planning something?,Personality,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,2,warm,social,organized;leader,,,,friends,insight,,,
Most Like To,Most Likely To,Who is most likely to turn sarcasm into an art form?,Fun,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,1,playful,social,sarcasm;humor,,,,friends,engagement,,,
Most Like To,Most Likely To,Who is most likely to make others laugh without trying?,Fun,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,1,playful,social,natural;humor,,,,party,engagement,,,
Most Like To,Most Likely To,Who is most likely to stay calm under pressure?,Personality,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,2,warm,emotional,calm;control,,,,solo,insight,,,
Most Like To,Most Likely To,Who is most likely to get excited over a message notification?,Romance,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,2,flirty,romantic,anticipation;joy,,,,couples,engagement,,,
Most Like To,Most Likely To,Who is most likely to say something bold and then laugh it off?,Fun,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,2,playful,social,bold;humor,,,,friends,engagement,,,
Most Like To,Most Likely To,Who is most likely to remember a random detail from years ago?,Connection,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,2,warm,emotional,memory;detail,,,,couples,insight,,,
Most Like To,Most Likely To,Who is most likely to turn a moment into something romantic?,Romance,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,3,flirty,romantic,romantic;intentional,,,,couples,engagement,,,
Most Like To,Most Likely To,Who is most likely to act first and think later?,Personality,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,2,light,social,impulsive;energy,,,,solo,insight,,,
Most Like To,Most Likely To,Who is most likely to notice when someone is uncomfortable?,Connection,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,3,warm,emotional,empathy;awareness,,,,couples,insight,,,
Most Like To,Most Likely To,Who is most likely to keep a joke going longer than needed?,Fun,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,1,playful,social,persistent;humor,,,,friends,engagement,,,
Most Like To,Most Likely To,Who is most likely to make a serious situation lighter?,Fun,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,2,playful,social,humor;balance,,,,friends,engagement,,,
Most Like To,Most Likely To,Who is most likely to blush at a compliment?,Romance,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,2,flirty,romantic,shy;flirty,,,,couples,engagement,,,
Most Like To,Most Likely To,Who is most likely to turn silence into something comfortable?,Connection,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,3,warm,emotional,calm;presence,,,,couples,insight,,,
Most Like To,Most Likely To,Who is most likely to push boundaries just a little?,Fun,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,2,playful,social,bold;playful,,,,party,engagement,,,
Most Like To,Most Likely To,Who is most likely to notice when energy shifts in a room?,Connection,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,3,warm,emotional,awareness;social,,,,friends,insight,,,
Most Like To,Most Likely To,Who is most likely to get emotionally invested quickly?,Romance,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,3,flirty,romantic,attached;emotion,,,,couples,engagement,,,
Most Like To,Most Likely To,Who is most likely to joke when they’re nervous?,Personality,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,2,light,emotional,deflection;humor,,,,solo,insight,,,
Most Like To,Most Likely To,Who is most likely to make a moment feel special?,Connection,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,3,warm,emotional,intentional;warm,,,,couples,insight,,,
Most Like To,Most Likely To,Who is most likely to take control in a chaotic situation?,Personality,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,2,warm,social,leader;calm,,,,friends,insight,,,
Most Like To,Most Likely To,Who is most likely to flirt through teasing?,Romance,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,3,flirty,romantic,teasing;flirty,,,,couples,engagement,,,
Most Like To,Most Likely To,Who is most likely to laugh at their own jokes first?,Fun,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,1,playful,social,self-aware;humor,,,,party,engagement,,,
Most Like To,Most Likely To,Who is most likely to make someone feel instantly comfortable?,Connection,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,2,warm,emotional,warm;social,,,,friends,engagement,,,
Most Like To,Most Likely To,Who is most likely to get competitive during a friendly game?,Competition,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,1,playful,social,competitive;fun,,,,games,engagement,,,
Most Like To,Most Likely To,Who is most likely to send a thoughtful message out of nowhere?,Connection,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,3,warm,emotional,kind;intentional,,,,couples,insight,,,
Most Like To,Most Likely To,Who is most likely to turn a simple idea into a big plan?,Personality,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,2,light,social,creative;vision,,,,solo,insight,,,
Most Like To,Most Likely To,Who is most likely to notice when someone is left out?,Connection,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,3,warm,social,inclusive;aware,,,,friends,insight,,,
Most Like To,Most Likely To,Who is most likely to make playful eye contact across the room?,Romance,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,3,flirty,romantic,flirty;subtle,,,,couples,engagement,,,
Most Like To,Most Likely To,Who is most likely to get excited about future plans?,Fun,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,1,playful,social,anticipation;energy,,,,friends,engagement,,,
Most Like To,Most Likely To,Who is most likely to respond with humor instead of seriousness?,Fun,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,2,playful,social,humor;deflection,,,,friends,engagement,,,
Most Like To,Most Likely To,Who is most likely to remember how someone likes things done?,Connection,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,3,warm,emotional,detail;care,,,,couples,insight,,,
Most Like To,Most Likely To,Who is most likely to take a compliment and deflect it?,Personality,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,2,light,emotional,shy;deflect,,,,solo,insight,,,
Most Like To,Most Likely To,Who is most likely to create a vibe wherever they go?,Fun,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,1,playful,social,energy;social,,,,party,engagement,,,
Most Like To,Most Likely To,Who is most likely to be the first to apologize sincerely?,Connection,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,3,warm,emotional,accountability;warm,,,,couples,insight,,,
Most Like To,Most Likely To,Who is most likely to push for “just one more thing”?,Fun,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,1,playful,social,energy;persistent,,,,friends,engagement,,,
Most Like To,Most Likely To,Who is most likely to get lost in a deep conversation?,Connection,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,3,warm,emotional,depth;focus,,,,couples,insight,,,
Most Like To,Most Likely To,Who is most likely to say something unexpectedly flirty?,Romance,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,3,flirty,romantic,bold;flirty,,,,couples,engagement,,,
Most Like To,Most Likely To,Who is most likely to make a quiet moment feel intense?,Romance,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,3,flirty,romantic,intense;subtle,,,,couples,engagement,,,
Most Like To,Most Likely To,Who is most likely to notice when someone needs encouragement?,Connection,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,3,warm,emotional,support;aware,,,,couples,insight,,,
Most Like To,Most Likely To,Who is most likely to take something small and overanalyze it?,Personality,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,2,light,emotional,overthinking;detail,,,,solo,insight,,,
Most Like To,Most Likely To,Who is most likely to make a risky joke?,Fun,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,2,playful,social,bold;humor,,,,friends,engagement,,,
Most Like To,Most Likely To,Who is most likely to keep their cool in a tense moment?,Personality,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,2,warm,emotional,calm;control,,,,solo,insight,,,
Most Like To,Most Likely To,Who is most likely to give a meaningful look instead of words?,Romance,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,3,flirty,romantic,subtle;intense,,,,couples,engagement,,,
Most Like To,Most Likely To,Who is most likely to bring up something thoughtful later?,Connection,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,3,warm,emotional,memory;care,,,,couples,insight,,,
Most Like To,Most Likely To,Who is most likely to lighten the mood instantly?,Fun,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,1,playful,social,energy;humor,,,,party,engagement,,,
